student_id,major_subject,parental_education_level,internet_access_quality,part_time_job,study_group_participation,study_hours_per_week,attendance_rate_pct,previous_gpa,sleep_hours_per_night,extracurricular_activities_count,stress_level_score,tutoring_hours_per_week,distance_from_home_km,part_time_job_hours_per_week,final_exam_score
20,Engineering,Master's,Poor,Yes,Yes,3.2,73.5,3.380391831004075,8.3,1,3.0,0.2,18.6,18.80702201728761,83.5
21,Business,Bachelor's,Excellent,No,No,10.6,93.8,3.553521011869079,8.6,0,4.0,4.8,10.1,,96.9
22,Business,Bachelor's,Average,No,Yes,27.5,75.0,2.518776434284849,5.2,2,8.0,4.1,3.5,,93.5
23,Engineering,Doctorate,Average,Yes,Yes,6.2,84.4,2.469672734378712,7.0,1,6.0,1.0,20.3,4.550673135489756,79.2
24,Humanities,Bachelor's,Good,Yes,No,13.8,86.8,3.081067271317097,7.0,2,7.0,1.1,11.9,10.148580245926595,80.9
25,Engineering,Bachelor's,Average,No,No,8.7,94.6,3.2468981208511662,7.1,0,3.0,4.2,3.2,,93.6
26,Business,Master's,Poor,Yes,Yes,8.1,97.4,2.9325631218015555,6.5,0,8.0,3.5,3.3,16.68957789941269,81.1
27,Engineering,Bachelor's,Good,Yes,No,4.2,74.9,3.480969136381974,9.2,2,6.0,1.3,2.9,6.972372398606274,90.0
28,Engineering,Doctorate,Good,Yes,No,12.2,86.7,3.8729971431411934,6.9,0,8.0,3.6,5.3,17.567185581102724,99.4
29,Engineering,Doctorate,Average,Yes,Yes,14.2,100.0,2.862593296490084,6.6,2,3.0,3.4,1.3,16.474774313507538,99.4
30,Engineering,High School,Good,Yes,No,5.8,91.3,3.4094997136146925,6.2,1,7.0,1.8,10.9,14.554901639611682,92.7
31,Sciences,Master's,Excellent,Yes,Yes,26.8,85.2,2.618184357337064,5.3,0,8.0,2.1,10.2,21.74085293520441,100.0
32,Humanities,Master's,Average,No,No,5.7,89.7,3.8566089458057773,8.2,4,6.0,1.5,2.2,,88.5
33,Sciences,Bachelor's,Average,Yes,No,13.8,55.5,3.4562114385274656,5.1,2,5.0,2.8,23.8,15.038641911811116,87.7
34,Humanities,Master's,Good,No,No,12.2,77.5,2.8979259549356655,5.2,0,5.0,4.5,7.5,,100.0
35,Engineering,Bachelor's,Average,No,No,2.0,100.0,3.4668270352809483,7.0,0,4.0,1.2,9.2,,82.4
36,Sciences,Master's,Poor,No,Yes,4.9,64.8,,5.7,1,5.0,1.6,18.4,,82.7
37,Business,Bachelor's,Good,No,Yes,9.8,79.1,2.760711020306219,6.1,2,6.0,4.3,18.4,,85.8
38,Business,Bachelor's,Good,No,No,5.7,84.1,2.5753693576561325,7.8,4,7.0,1.2,21.1,,77.8
39,Sciences,Master's,Excellent,No,Yes,2.9,97.8,4.0,6.4,1,10.0,0.4,12.3,,97.1
40,Engineering,Bachelor's,Good,No,No,23.2,100.0,3.084136488097142,8.1,2,7.0,3.6,12.7,,100.0
41,Sciences,High School,Good,No,Yes,4.3,67.3,2.4137679302691786,4.2,1,4.0,1.3,6.0,,75.6
42,Business,High School,Good,Yes,Yes,5.4,61.8,3.8699835780808547,7.3,1,1.0,1.0,5.5,12.797465890973601,93.3
43,Sciences,Bachelor's,Excellent,No,No,0.6,85.5,,7.0,1,4.0,0.2,10.1,,80.7
44,Business,Doctorate,Average,No,No,3.4,70.0,2.5288011719196386,5.9,1,6.0,0.3,3.2,,84.0
45,Business,High School,Average,No,Yes,12.3,85.5,3.9472714324093063,6.3,3,3.0,3.5,5.4,,100.0
46,Business,Master's,Average,No,No,2.8,100.0,2.7354544663990907,6.7,3,3.0,0.0,5.1,,81.9
47,Engineering,High School,Good,No,Yes,17.0,45.7,2.772864669122238,7.9,2,7.0,5.3,14.6,,86.9
48,Sciences,Master's,Average,Yes,Yes,4.2,74.8,2.86067427318657,6.3,1,5.0,1.4,4.3,9.248994359549787,62.6
49,Business,Master's,Average,Yes,Yes,11.5,85.4,2.6605837628844755,6.0,3,7.0,3.1,6.2,12.415129436128737,95.5
50,Engineering,Bachelor's,Excellent,No,No,3.5,74.7,2.185159655292445,7.7,0,5.0,3.2,5.5,,73.6
51,Business,Bachelor's,Excellent,No,No,19.1,89.6,2.8840288556963842,6.5,1,6.0,6.2,2.8,,100.0
52,Sciences,Master's,Good,No,Yes,12.8,73.9,2.287915221171336,5.9,2,6.0,1.8,11.5,,89.5
53,Business,Master's,Average,No,No,12.5,82.9,2.9940752553585632,6.7,1,8.0,1.7,3.3,,84.5
54,Humanities,Master's,Good,No,Yes,4.2,72.1,2.622016117361135,6.4,1,7.0,2.8,6.9,,82.7
55,Business,Bachelor's,Poor,No,No,4.2,92.8,2.4816521848916406,7.7,2,4.0,0.9,22.5,,87.2
56,Business,Master's,Good,Yes,No,13.3,89.7,2.720897250608118,7.0,2,7.0,3.1,3.0,10.147978648001912,95.0
57,Engineering,Doctorate,Average,Yes,No,3.9,70.2,3.179539556157023,6.8,1,5.0,1.7,0.3,10.956043196082925,83.3
58,Engineering,High School,Poor,Yes,Yes,23.4,54.3,3.6959512369854637,7.5,0,6.0,3.6,9.0,13.227398557064552,84.6
59,Business,Bachelor's,Average,No,Yes,8.4,100.0,2.588325961207003,6.1,2,5.0,1.1,1.0,,88.4
60,Humanities,High School,Good,Yes,No,5.5,93.4,3.9103698570009042,4.9,0,2.0,0.9,7.6,12.80252489900681,90.9
61,Sciences,Master's,Good,No,No,1.6,84.9,3.479271771225168,5.3,1,1.0,0.0,6.6,,81.4
62,Engineering,Bachelor's,Average,Yes,No,5.6,75.1,3.331950826153724,5.7,2,8.0,0.0,6.9,17.94651782288747,69.6
63,Sciences,Bachelor's,Excellent,Yes,No,9.7,88.4,2.129307160190416,6.8,0,7.0,2.1,6.7,19.6790440560329,80.5
64,Sciences,Bachelor's,Average,No,Yes,6.1,72.8,2.5958402717671816,7.1,0,7.0,1.9,21.3,,62.4
65,Humanities,Bachelor's,Poor,Yes,Yes,7.8,69.8,2.097323694505042,5.6,3,5.0,3.2,5.3,17.969651863451944,74.9
66,Sciences,Bachelor's,Good,No,Yes,3.9,80.6,3.082945334241491,5.0,2,6.0,1.8,5.8,,94.6
67,Sciences,Master's,Poor,No,No,14.7,81.3,3.148301116151701,7.8,2,7.0,1.2,14.0,,85.9
68,Engineering,High School,Good,No,No,9.1,83.8,3.150057580106647,8.1,1,7.0,1.4,18.4,,85.0
69,Engineering,Master's,Average,No,Yes,10.5,87.4,2.3421948711820892,6.3,0,5.0,5.8,5.0,,78.6
70,Humanities,Master's,Average,No,No,13.6,70.2,2.5434497858846163,8.4,2,4.0,3.3,5.8,,98.1
71,Humanities,Master's,Average,Yes,Yes,13.6,55.4,2.832703038776846,5.3,0,6.0,6.2,13.7,16.738704283760804,82.2
72,Humanities,Doctorate,Average,No,No,10.1,98.6,3.1185490488792267,5.8,2,6.0,1.1,11.8,,96.0
73,Humanities,Bachelor's,Average,No,No,1.4,100.0,3.3087517121286654,6.0,1,5.0,0.0,3.9,,87.4
74,Engineering,Bachelor's,Average,No,Yes,14.8,93.5,3.3675619685672706,5.6,2,7.0,5.2,4.0,,100.0
75,Engineering,Bachelor's,Poor,Yes,No,8.4,85.7,3.3561040162814106,8.8,1,6.0,1.1,6.4,19.857331559615595,91.9
76,Business,Bachelor's,Average,Yes,No,7.8,85.9,2.113662996036214,7.0,0,5.0,1.7,5.0,18.650461001777373,75.7
77,Engineering,Master's,Good,Yes,No,5.6,93.8,4.0,7.9,0,3.0,0.1,19.0,5.885028214357732,92.6
78,Humanities,Doctorate,Average,No,Yes,7.3,66.0,2.7777337727133484,5.7,0,8.0,2.4,11.8,,82.9
79,Humanities,Bachelor's,Good,Yes,No,9.3,73.4,2.725942148494188,6.5,1,4.0,3.4,11.8,7.7876897654516615,88.9
80,Sciences,High School,Poor,Yes,No,12.6,67.4,2.3673205964423887,6.4,0,7.0,2.6,5.0,11.607154176232541,70.5
81,Sciences,High School,Good,No,No,2.3,65.6,3.042661958529224,6.1,0,10.0,1.4,7.9,,74.7
82,Engineering,Bachelor's,Average,Yes,No,4.1,90.1,2.6027932520694725,7.4,3,2.0,0.1,7.0,8.714902321196757,84.6
83,Sciences,Doctorate,Average,Yes,Yes,11.2,83.6,2.9111995440208505,6.1,0,8.0,2.2,8.7,17.05503477425762,84.7
84,Engineering,Bachelor's,Poor,Yes,No,32.0,58.0,3.323056220860098,7.3,0,4.0,5.4,8.3,7.399562450618935,100.0
85,Humanities,High School,Average,Yes,Yes,5.2,74.4,3.2926186710633876,6.7,3,2.0,3.0,16.5,13.321570359101711,77.5
86,Sciences,Bachelor's,Excellent,No,Yes,14.2,92.8,3.098841113577523,6.8,1,2.0,1.9,4.0,,100.0
87,Engineering,High School,Good,Yes,Yes,4.6,98.2,2.5675411308601657,6.3,0,6.0,0.4,4.8,20.818998016628058,74.1
88,Business,High School,Good,No,No,5.4,96.9,3.097763547689435,6.3,0,6.0,0.0,7.5,,94.8
89,Engineering,Master's,Average,No,Yes,14.7,100.0,2.8383766243090336,6.0,2,5.0,4.5,4.1,,99.5
90,Humanities,Bachelor's,Good,Yes,Yes,19.8,80.5,2.832234975505372,4.9,1,7.0,5.0,1.2,15.221254479991204,98.5
91,Business,Master's,Good,Yes,No,4.2,79.2,2.827968788701077,9.4,1,8.0,0.0,3.1,12.67209258989189,80.1
92,Engineering,High School,Average,No,No,2.0,86.2,2.687740632074983,5.4,1,9.0,0.5,2.1,,79.7
93,Business,Bachelor's,Good,Yes,Yes,6.5,76.3,3.488056399140475,4.4,0,5.0,1.6,11.7,13.799946034618532,86.5
94,Business,High School,Average,Yes,Yes,3.7,77.5,4.0,6.3,1,7.0,1.3,18.1,11.534407121528131,89.6
95,Sciences,Doctorate,Poor,Yes,No,27.5,71.0,3.1821079115043402,8.1,0,4.0,3.8,7.5,10.422017817949351,100.0
96,Humanities,High School,Good,Yes,No,4.4,99.2,2.804545513779967,5.7,1,7.0,0.0,7.1,13.758420909156813,72.4
97,Engineering,Bachelor's,Average,No,Yes,3.4,82.4,2.686315284119613,7.6,0,7.0,1.2,8.5,,84.3
98,Humanities,High School,Average,Yes,No,7.0,92.1,2.55624225009473,6.7,4,9.0,2.1,11.1,5.798049635923832,75.6
99,Business,Master's,Excellent,No,No,3.7,88.1,2.5686278005637484,7.0,1,4.0,0.0,12.1,,83.4
100,Business,High School,Good,No,No,6.2,93.0,3.551508472292857,8.2,0,7.0,0.4,7.8,,90.1
101,Humanities,Bachelor's,Average,No,No,3.6,95.4,2.441119228562962,4.8,2,8.0,0.0,14.7,,68.6
102,Business,Master's,Good,No,Yes,12.1,100.0,3.7030982842900677,5.1,2,6.0,0.0,8.4,,99.9
103,Engineering,Bachelor's,Poor,No,No,6.5,87.7,3.340052496078203,4.8,2,9.0,2.6,9.8,,87.7
104,Business,Bachelor's,Good,No,Yes,4.4,71.2,,8.6,1,9.0,0.1,6.3,,81.8
105,Business,High School,Good,No,No,7.9,61.1,4.0,5.9,1,4.0,2.6,27.2,,100.0
106,Sciences,High School,Poor,Yes,Yes,7.6,79.1,2.724108555198039,6.8,3,6.0,1.4,20.0,16.219742369881807,73.5
107,Engineering,Master's,Average,Yes,No,8.1,52.4,3.467118665063439,5.8,3,6.0,1.3,0.6,21.890966752640022,82.3
108,Engineering,Master's,Average,No,Yes,6.0,78.9,2.377847277220555,5.5,2,3.0,1.5,3.8,,90.6
109,Business,High School,Good,Yes,No,7.6,65.0,2.055678144335228,5.8,2,5.0,0.8,7.0,17.112801732895,63.5
110,Humanities,Master's,Good,No,Yes,6.1,56.4,3.0260179285791486,8.1,2,4.0,0.5,6.9,,75.1
111,Engineering,Bachelor's,Good,No,Yes,9.4,86.8,3.3877311219361155,7.0,3,7.0,0.9,3.7,,92.5
112,Engineering,Master's,Good,Yes,Yes,12.0,70.5,2.6339279404225335,7.1,1,6.0,1.5,11.7,17.517962513009735,87.2
113,Sciences,High School,Good,No,No,3.5,97.9,1.5217991402677349,6.8,2,6.0,0.0,9.2,,65.0
114,Humanities,Bachelor's,Average,Yes,No,9.8,84.4,2.8711622829427688,6.0,0,3.0,2.5,0.8,21.381644952524113,91.0
115,Sciences,Master's,Good,Yes,Yes,3.3,91.7,2.3723109099891544,8.9,3,5.0,0.0,19.6,3.7853370020245265,72.0
116,Sciences,High School,Excellent,Yes,No,7.1,84.8,,7.7,2,8.0,3.1,4.5,11.20713380961616,95.8
117,Humanities,Doctorate,Poor,No,No,8.6,72.4,3.861716726663408,6.6,2,4.0,2.0,1.4,,92.5
118,Humanities,Bachelor's,Good,No,Yes,4.5,90.6,3.2732123955945793,4.0,0,7.0,1.5,9.6,,93.2
119,Engineering,Bachelor's,Good,No,Yes,10.0,93.4,3.251256306228491,7.3,1,8.0,3.6,2.8,,95.9
120,Business,High School,Average,Yes,No,1.6,65.3,3.2742098795483168,8.1,0,5.0,0.0,9.7,18.319737134597368,68.9
121,Engineering,High School,Good,Yes,Yes,6.4,77.1,3.8512902824952184,5.1,1,4.0,1.9,13.6,12.609119653315547,98.9
122,Humanities,Bachelor's,Poor,No,No,8.1,93.7,2.288135762184405,5.1,3,7.0,1.6,4.8,,80.6
123,Engineering,Bachelor's,Average,Yes,No,11.2,77.4,2.8436363161352713,6.8,0,7.0,2.5,6.2,17.702149617815895,84.5
124,Business,High School,Good,No,Yes,3.5,100.0,2.335630002345233,9.3,0,7.0,0.1,5.1,,89.8
125,Sciences,Master's,Average,Yes,No,4.2,99.1,2.8268207560932708,6.3,1,5.0,1.0,4.5,19.77105460667137,81.3
126,Sciences,Master's,Poor,No,No,5.0,86.8,2.830559536347816,8.1,1,9.0,1.3,11.1,,75.4
127,Humanities,Bachelor's,Poor,Yes,Yes,7.3,93.1,3.321446482278522,7.2,3,2.0,1.2,11.8,21.501302940013694,95.6
128,Sciences,High School,Good,No,Yes,4.5,100.0,3.1851434078039467,7.4,3,6.0,0.9,9.8,,96.4
129,Sciences,Bachelor's,Good,No,Yes,3.4,81.7,3.4862843442843374,5.4,0,8.0,0.0,9.6,,92.1
130,Business,High School,Poor,No,No,1.8,82.8,2.61743089988173,6.6,1,8.0,1.8,8.5,,82.9
131,Sciences,Bachelor's,Average,No,No,4.2,87.2,2.3126543695200112,7.2,0,4.0,1.8,6.5,,81.7
132,Humanities,Master's,Average,No,No,7.0,82.6,,6.8,3,7.0,1.5,2.1,,89.0
133,Humanities,High School,Excellent,Yes,Yes,8.8,92.8,2.763783810986461,5.0,0,4.0,1.8,2.3,13.562193322224758,95.5
134,Humanities,Doctorate,Excellent,No,Yes,15.4,92.2,,7.4,5,6.0,1.2,15.5,,88.9
135,Engineering,Master's,Poor,No,No,11.7,88.4,3.4267681948973516,7.1,2,6.0,3.8,5.8,,92.2
136,Business,Doctorate,Good,No,No,12.1,74.8,1.8135706352618493,5.2,1,7.0,0.0,8.6,,74.6
137,Engineering,Bachelor's,Good,Yes,Yes,7.5,83.1,1.8305409933179115,6.9,3,5.0,2.7,11.1,20.604927917673596,86.4
138,Business,Master's,Average,Yes,Yes,12.2,76.5,3.0944032261805816,8.5,0,2.0,2.0,1.9,12.927040808058234,100.0
139,Engineering,Doctorate,Poor,No,No,4.5,86.7,4.0,6.6,3,6.0,3.4,4.9,,96.2
140,Business,High School,Average,No,Yes,7.2,98.2,3.2389344702720293,7.2,0,7.0,1.7,19.1,,94.4
141,Business,Bachelor's,Good,No,Yes,9.6,74.9,2.4928604532972067,6.5,1,3.0,0.0,6.7,,77.1
142,Business,Bachelor's,Average,Yes,No,5.0,86.8,3.854218565937609,10.0,2,5.0,0.9,5.3,16.993173025935064,81.0
143,Engineering,Bachelor's,Average,No,Yes,5.4,51.3,3.150630323257727,6.1,0,3.0,1.8,1.6,,81.3
144,Business,Bachelor's,Good,No,No,3.9,77.5,3.8154904458298464,7.6,1,5.0,1.0,2.5,,100.0
145,Engineering,Doctorate,Good,No,No,5.6,61.2,3.1383579698909148,9.9,2,2.0,2.1,19.2,,94.4
146,Business,High School,Good,Yes,No,4.8,92.4,2.72566019304672,6.2,2,4.0,1.0,10.1,8.149494318332298,90.3
147,Sciences,Master's,Average,Yes,No,2.2,58.5,3.0026356694622227,6.0,1,6.0,1.3,12.7,11.043178919642697,73.7
148,Business,Bachelor's,Good,No,No,11.0,93.9,3.206580549844838,5.9,1,3.0,3.3,15.4,,92.9
149,Sciences,High School,Average,Yes,Yes,20.9,66.6,2.793805075525801,7.1,2,8.0,2.3,6.5,17.06003441371274,88.3
150,Engineering,Master's,Good,Yes,Yes,10.1,69.8,2.7838623688168993,7.1,0,3.0,3.1,5.4,16.004241096396452,92.3
151,Sciences,Master's,Good,Yes,Yes,8.3,52.3,2.653127182997482,6.0,2,6.0,1.7,8.7,22.1765382574739,71.2
152,Humanities,Bachelor's,Average,No,Yes,14.2,96.2,2.9773237948677753,6.3,0,2.0,2.9,1.3,,96.2
153,Engineering,Master's,Average,Yes,No,5.8,69.3,3.09740534674321,5.1,0,3.0,0.0,2.9,14.542748719231806,85.9
154,Engineering,Master's,Average,Yes,No,5.6,82.3,3.0616263263848587,5.3,0,4.0,1.0,9.4,4.721361438706161,87.9
155,Sciences,Doctorate,Good,No,No,16.7,70.6,2.648521106637103,7.4,2,5.0,5.3,9.6,,90.7
156,Humanities,Bachelor's,Excellent,Yes,Yes,4.1,76.2,1.656655545452977,7.0,3,3.0,0.0,1.2,16.398996260703463,72.8
157,Engineering,Bachelor's,Good,No,No,9.3,61.5,,6.1,3,2.0,4.3,1.6,,77.7
158,Humanities,Bachelor's,Average,No,Yes,6.3,73.6,3.568225482486952,6.5,0,7.0,2.1,12.1,,80.1
159,Business,Bachelor's,Good,No,No,6.5,59.7,3.823821985720377,7.2,2,8.0,0.2,2.8,,84.6
160,Humanities,Doctorate,Average,No,No,16.5,76.3,3.167762335618964,5.0,1,6.0,1.3,3.2,,91.3
161,Humanities,High School,Excellent,No,No,4.1,99.0,2.0411798228216678,5.2,2,6.0,0.0,15.2,,87.3
162,Humanities,High School,Good,Yes,Yes,6.3,57.9,3.6321144630184343,7.3,4,8.0,1.3,6.7,19.04188517212875,90.8
163,Humanities,Master's,Good,Yes,Yes,15.9,66.0,2.1194236721060657,6.9,0,7.0,2.4,22.9,13.207910939484222,91.8
164,Engineering,Bachelor's,Average,No,No,10.5,100.0,1.9885079190083803,6.7,0,2.0,6.2,9.7,,90.6
165,Business,Bachelor's,Excellent,No,Yes,20.8,78.3,3.338017172416786,9.0,1,5.0,4.0,6.0,,100.0
166,Humanities,Bachelor's,Excellent,No,Yes,5.0,97.9,3.434904140565348,5.9,1,8.0,2.6,2.4,,96.4
167,Humanities,Master's,Excellent,No,Yes,4.3,64.9,3.040797487326809,6.2,2,5.0,3.2,5.5,,79.3
168,Humanities,Master's,Excellent,No,No,8.0,58.1,2.783275971672594,8.8,2,4.0,1.5,8.0,,79.5
169,Engineering,Master's,Good,No,Yes,8.9,61.6,3.248401599056875,5.9,1,4.0,5.1,11.9,,84.2
170,Humanities,High School,Good,No,Yes,9.0,77.6,4.0,5.5,0,7.0,4.1,11.1,,98.3
171,Business,Bachelor's,Poor,Yes,No,2.9,92.5,3.3441400247023867,6.3,3,6.0,1.5,15.5,18.750299585535636,85.7
172,Engineering,High School,Poor,No,No,7.3,95.1,2.243039242357146,6.6,1,6.0,4.8,4.7,,72.4
173,Business,Master's,Good,No,No,7.8,84.3,2.84526778807792,7.7,0,5.0,3.3,10.9,,75.8
174,Sciences,Bachelor's,Average,No,No,4.2,96.3,2.2823139246643187,5.7,0,8.0,2.0,14.3,,84.7
175,Engineering,Doctorate,Average,No,No,13.0,100.0,3.283082015489485,7.1,0,2.0,0.2,1.9,,88.1
176,Sciences,High School,Poor,No,No,13.1,80.1,,5.4,1,9.0,1.6,1.2,,77.5
177,Engineering,Bachelor's,Excellent,Yes,Yes,7.8,82.2,3.98516810881019,8.0,1,4.0,1.8,2.6,20.46055043945269,95.9
178,Engineering,Bachelor's,Good,No,Yes,6.3,91.1,3.670848919107112,7.1,0,4.0,1.1,5.7,,86.1
179,Engineering,High School,Good,Yes,No,10.8,100.0,2.8677450734494214,6.8,5,1.0,1.7,9.3,24.540971798731324,78.1
180,Business,High School,Average,No,No,9.1,87.8,2.959781039876037,5.5,0,8.0,1.7,7.8,,80.9
181,Humanities,Bachelor's,Average,No,No,5.0,71.1,3.887210811369856,5.8,3,7.0,0.2,17.2,,87.2
182,Sciences,High School,Average,Yes,Yes,5.3,48.4,3.397967728083495,4.8,0,3.0,3.4,7.0,16.877399412169378,86.0
183,Business,High School,Poor,Yes,No,2.7,80.0,3.6894017680237456,7.8,1,4.0,1.7,3.6,9.507206243984797,92.0
184,Business,Bachelor's,Poor,Yes,No,10.1,95.1,2.6585561751302857,7.3,0,5.0,1.7,5.8,14.618920970370425,87.5
185,Humanities,Bachelor's,Good,No,No,6.4,99.4,3.0713261933031033,7.2,0,6.0,2.1,14.0,,83.7
186,Humanities,High School,Good,No,No,11.2,74.7,3.465851636488189,7.3,2,10.0,1.0,5.6,,95.6
187,Sciences,Master's,Average,No,No,9.9,98.1,3.045319516021245,7.1,2,6.0,4.0,6.8,,100.0
188,Engineering,Bachelor's,Excellent,No,Yes,14.5,58.7,3.3228917412448067,8.3,1,7.0,3.5,24.1,,98.9
189,Engineering,Bachelor's,Excellent,No,No,13.2,87.4,3.634695316661384,4.9,3,7.0,3.2,5.4,,98.6
190,Humanities,Bachelor's,Good,No,No,2.6,88.8,2.2445597093391116,8.8,2,9.0,1.7,2.9,,81.5
191,Business,High School,Average,No,Yes,8.7,85.6,3.7628505112163757,4.9,3,8.0,1.9,4.3,,96.1
192,Humanities,Master's,Good,No,Yes,8.6,98.5,4.0,6.0,0,4.0,0.5,22.0,,100.0
193,Sciences,Bachelor's,Average,No,Yes,1.5,71.1,3.655939013284235,6.5,1,5.0,0.0,8.2,,91.3
194,Engineering,Bachelor's,Average,Yes,Yes,6.8,89.2,3.214330916203748,5.2,2,6.0,2.2,1.6,11.985744620362539,82.0
195,Engineering,High School,Average,No,No,3.6,47.7,2.8270778552854914,7.5,0,6.0,3.0,5.2,,67.8
196,Business,Bachelor's,Poor,No,Yes,3.1,71.9,3.0162052501466956,8.5,1,5.0,1.8,1.7,,86.7
197,Sciences,Bachelor's,Good,Yes,No,6.0,100.0,3.4364134183367003,8.8,1,4.0,2.4,6.8,15.734402463293378,100.0
198,Humanities,High School,Average,No,Yes,5.6,61.7,3.7337832464042693,5.1,1,7.0,0.0,11.8,,79.0
199,Humanities,Master's,Average,No,Yes,8.0,82.2,3.4654801138918496,7.5,0,2.0,0.4,4.1,,94.2
200,Sciences,High School,Poor,Yes,No,2.2,95.8,2.8977310195606023,4.0,0,6.0,0.0,32.5,8.648914607843562,84.9
201,Engineering,Master's,Average,No,No,14.7,85.2,3.0001269475997487,3.3,3,7.0,6.0,5.6,,100.0
202,Engineering,High School,Good,No,No,11.0,87.1,3.6266000752773393,6.9,1,5.0,1.8,13.2,,97.2
203,Business,Bachelor's,Good,Yes,Yes,4.4,99.3,3.9614696685182067,4.7,2,6.0,0.6,5.6,12.949122094381071,94.2
204,Sciences,Master's,Good,No,Yes,23.3,70.6,3.540058440765776,6.4,2,3.0,4.7,10.3,,100.0
205,Engineering,Bachelor's,Excellent,No,No,7.1,56.1,2.03192984431321,6.3,1,6.0,1.4,4.8,,76.6
206,Business,Bachelor's,Average,No,Yes,16.4,95.4,2.7387094979078745,3.7,2,6.0,1.1,5.4,,88.8
207,Sciences,Master's,Good,Yes,No,6.6,81.7,2.9195047195795585,4.9,1,6.0,2.3,11.4,12.469284669639213,86.6
208,Humanities,Master's,Good,No,No,4.2,59.7,3.853747839008145,6.0,0,4.0,2.4,1.0,,81.7
209,Sciences,Bachelor's,Poor,No,No,13.2,71.5,2.114265639581564,5.7,2,4.0,1.9,18.4,,73.0
210,Business,Bachelor's,Poor,No,No,2.3,54.6,2.84244968332121,6.9,2,7.0,0.3,15.5,,80.7
211,Sciences,High School,Average,Yes,No,5.0,55.1,3.5875553852758735,6.8,0,5.0,0.1,10.8,13.416440140077388,67.7
212,Sciences,Bachelor's,Good,Yes,Yes,9.3,77.8,3.5749736273714787,5.6,1,2.0,0.7,18.5,10.122545709969218,88.6
213,Business,Bachelor's,Poor,No,No,12.2,77.1,2.959163500044973,7.3,2,6.0,1.3,5.8,,82.2
214,Business,Bachelor's,Average,Yes,No,4.9,76.0,3.074002886665542,6.4,4,4.0,0.2,14.8,14.28053706292937,88.9
215,Sciences,High School,Excellent,Yes,No,10.5,100.0,2.536094793042958,6.6,1,5.0,2.5,8.7,12.561231365570679,78.6
216,Business,Master's,Average,No,No,1.7,75.0,2.2195520343128647,6.4,1,1.0,0.8,6.5,,76.3
217,Sciences,High School,Average,Yes,No,8.8,80.9,,6.2,3,6.0,5.2,13.8,15.534323650109208,87.4
218,Sciences,Master's,Good,Yes,Yes,18.9,90.4,2.5241651008599195,5.8,3,6.0,1.1,5.6,9.179916242057512,86.8
219,Sciences,High School,Excellent,No,No,9.9,94.1,2.9535143559858863,6.8,3,4.0,2.7,17.3,,100.0
