applicant_id,sector,county,quarter,loan_purpose,owner_education_level,business_age_years,num_employees,monthly_revenue_kes,loan_amount_kes,loan_term_months,interest_rate_pct,collateral_value_kes,debt_to_income_ratio,credit_score,num_previous_loans,missed_payments_count,online_presence_score,customer_satisfaction_score,competitor_density,credit_risk_category
33,Retail,Nairobi,Q1,Equipment Purchase,Masters,4.1,4,2336425.0,7600030.0,60,20.61,12025837.0,0.269,666.0,3,1,71.0,,5,Low
34,Retail,Other,Q1,Business Expansion,Bachelors,7.7,8,1953303.0,1925257.0,48,13.08,702331.0,0.461,673.0,5,1,39.7,3.3,8,Medium
35,Manufacturing,Nairobi,Q3,Equipment Purchase,Diploma,3.9,9,6113434.0,17550672.0,12,15.9,10602283.0,0.235,639.0,3,1,68.9,3.9,4,Low
36,Retail,Kisumu,Q1,Inventory Financing,Secondary,6.5,6,1376118.0,2529777.0,6,13.0,977251.0,0.369,538.0,1,0,78.5,3.7,9,Medium
37,Hospitality,Nairobi,Q4,Inventory Financing,Bachelors,2.4,10,906497.0,1212233.0,24,17.36,1636648.0,0.271,699.0,0,0,64.5,3.6,4,Low
38,Retail,Nairobi,Q4,Working Capital,Certificate,3.9,11,1195706.0,3892082.0,12,14.9,,0.406,477.0,4,0,65.9,5.0,2,High
39,Services,Mombasa,Q4,Working Capital,Diploma,8.2,9,2282312.0,2558006.0,12,17.22,,0.365,756.0,2,1,44.3,,6,Low
40,Retail,Eldoret,Q2,Inventory Financing,Diploma,1.9,9,3990692.0,11071654.0,48,14.22,,0.111,668.0,0,0,56.3,2.9,5,Medium
41,Retail,Nairobi,Q1,Business Expansion,Bachelors,4.6,10,364732.0,216190.0,12,16.15,270702.0,0.688,737.0,2,1,77.1,3.6,6,Medium
42,Services,Other,Q1,Working Capital,Primary,4.3,7,722009.0,1897932.0,6,13.16,,0.796,751.0,1,1,77.0,4.2,6,Medium
43,Agriculture,Other,Q3,Business Expansion,Primary,3.5,6,4058457.0,10997624.0,36,14.07,17208707.0,0.21,429.0,2,2,60.0,3.5,8,Low
44,Services,Kisumu,Q1,Working Capital,Secondary,6.3,4,1294661.0,4136321.0,24,13.41,4953788.0,0.684,581.0,1,0,100.0,3.0,9,Low
45,Manufacturing,Mombasa,Q4,Equipment Purchase,Secondary,10.7,5,1122391.0,3901154.0,12,14.95,3984065.0,0.304,712.0,1,1,31.0,3.0,9,Low
46,Services,Nairobi,Q4,Inventory Financing,Diploma,4.1,6,1225472.0,1354426.0,6,17.11,2290625.0,0.446,740.0,1,0,72.3,3.6,9,Low
47,Retail,Nairobi,Q1,Working Capital,Secondary,2.9,9,915957.0,2402219.0,24,19.05,,0.171,509.0,1,1,49.6,,5,Medium
48,Agriculture,Nairobi,Q2,Inventory Financing,Primary,4.0,9,826901.0,999590.0,12,13.09,1338530.0,0.541,577.0,2,2,43.6,3.8,6,Medium
49,Agriculture,Other,Q4,Equipment Purchase,Diploma,11.2,8,1915204.0,1380672.0,12,18.11,1560501.0,0.495,724.0,2,2,85.4,2.7,5,Low
50,Services,Nairobi,Q3,Inventory Financing,Primary,2.4,11,980737.0,2757382.0,36,13.16,,0.133,,1,1,60.5,4.0,8,Medium
51,Hospitality,Eldoret,Q1,Inventory Financing,Bachelors,2.0,1,4824882.0,9553903.0,48,20.08,13286762.0,0.555,650.0,1,1,35.3,,4,Low
52,Agriculture,Nakuru,Q4,Working Capital,Secondary,3.1,8,325439.0,878050.0,24,15.64,,0.286,638.0,1,1,36.8,3.2,6,Medium
53,Retail,Nairobi,Q4,Business Expansion,Secondary,7.7,13,2445597.0,7624402.0,48,13.16,3255605.0,0.168,718.0,4,1,42.2,3.4,11,Low
54,Hospitality,Nairobi,Q3,Inventory Financing,Diploma,4.8,7,1056352.0,696680.0,36,15.27,,0.409,692.0,0,0,57.1,3.7,9,Low
55,Hospitality,Eldoret,Q1,Working Capital,Masters,7.6,10,5096647.0,11799049.0,24,18.12,,0.458,693.0,1,1,51.5,4.1,5,Medium
56,Retail,Nakuru,Q4,Business Expansion,Secondary,1.9,12,844485.0,1628937.0,6,15.78,2506139.0,0.387,,2,0,50.7,4.3,6,Low
57,Services,Nairobi,Q2,Working Capital,Secondary,4.1,12,2274523.0,3809215.0,12,17.22,5771950.0,0.179,622.0,1,0,60.6,4.5,5,Low
58,Hospitality,Other,Q4,Working Capital,Certificate,2.1,7,4576957.0,6949681.0,18,15.63,,0.098,776.0,2,0,73.7,4.2,6,Low
59,Technology,Nairobi,Q4,Working Capital,Bachelors,2.1,4,2296805.0,1740366.0,24,22.41,,0.056,582.0,2,1,58.4,4.7,6,Medium
60,Agriculture,Mombasa,Q2,Working Capital,Masters,6.1,2,1127505.0,736292.0,24,18.84,,0.294,510.0,2,1,97.7,,6,Medium
61,Manufacturing,Nairobi,Q4,Inventory Financing,Secondary,4.1,9,1463706.0,1550846.0,12,16.59,,0.403,525.0,2,0,78.4,4.9,9,Medium
62,Manufacturing,Nakuru,Q4,Working Capital,Primary,16.1,7,2187074.0,2734676.0,24,17.02,1643998.0,0.695,746.0,0,2,39.1,4.0,3,Low
63,Manufacturing,Nairobi,Q1,Equipment Purchase,Secondary,10.3,7,4617338.0,6931875.0,24,22.6,9834236.0,0.851,526.0,2,0,55.1,3.1,11,Low
64,Retail,Nairobi,Q3,Equipment Purchase,Secondary,5.0,5,1829028.0,1740714.0,48,16.87,912657.0,0.495,710.0,1,0,67.0,2.7,2,Low
65,Agriculture,Eldoret,Q3,Business Expansion,Bachelors,4.0,9,2456598.0,3192095.0,36,16.46,5337254.0,0.681,,0,0,27.8,3.8,8,Low
66,Retail,Kisumu,Q1,Inventory Financing,Diploma,1.4,10,776311.0,2351173.0,48,12.87,975728.0,0.997,657.0,1,0,53.1,3.5,7,High
67,Hospitality,Nakuru,Q4,Business Expansion,Bachelors,1.0,7,1641023.0,3855069.0,12,18.72,1520918.0,0.721,,2,0,82.6,,3,Medium
68,Retail,Eldoret,Q1,Inventory Financing,Certificate,9.8,11,3987987.0,8134654.0,24,13.98,8363274.0,0.655,585.0,0,0,32.3,2.9,8,Low
69,Technology,Kisumu,Q3,Working Capital,Certificate,3.1,3,1353380.0,3041322.0,48,15.26,2905453.0,0.707,643.0,1,1,93.7,3.7,5,Low
70,Retail,Nairobi,Q2,Business Expansion,Masters,5.8,9,1233153.0,2321851.0,12,22.57,1676820.0,0.49,795.0,1,0,59.7,4.7,2,Low
71,Manufacturing,Nakuru,Q4,Working Capital,Primary,5.2,7,1310109.0,3491283.0,12,13.23,,0.561,719.0,1,0,83.1,2.7,2,Medium
72,Hospitality,Nairobi,Q1,Inventory Financing,Primary,7.9,4,3660469.0,11731655.0,24,18.87,,0.29,786.0,0,1,52.8,2.9,7,Low
73,Services,Nairobi,Q2,Business Expansion,Primary,14.2,7,2621979.0,2669641.0,12,14.39,2158221.0,0.513,719.0,2,1,12.0,2.8,6,Low
74,Manufacturing,Mombasa,Q4,Working Capital,Bachelors,8.5,9,2266460.0,6293873.0,18,11.28,,0.723,746.0,1,0,44.1,2.8,4,Medium
75,Retail,Nairobi,Q2,Inventory Financing,Diploma,4.3,4,1032817.0,2681265.0,24,13.75,,0.215,720.0,1,2,78.9,3.9,7,Medium
76,Services,Nairobi,Q3,Equipment Purchase,Diploma,11.5,11,583113.0,1269963.0,48,13.87,2084696.0,0.241,605.0,3,1,77.2,3.0,2,Low
77,Technology,Nakuru,Q2,Equipment Purchase,Diploma,6.9,10,3386524.0,1668403.0,18,15.32,1403934.0,0.453,688.0,2,1,82.7,3.0,6,Low
78,Technology,Eldoret,Q1,Working Capital,Bachelors,4.4,8,1247136.0,1492419.0,12,14.64,2484319.0,0.475,769.0,1,0,43.3,3.9,6,Low
79,Agriculture,Mombasa,Q1,Inventory Financing,Diploma,5.5,9,2905503.0,5323695.0,12,14.41,3927018.0,0.22,655.0,0,0,62.9,3.5,5,Low
80,Retail,Mombasa,Q4,Equipment Purchase,Secondary,9.0,9,2457252.0,7960777.0,48,15.02,13462457.0,0.844,667.0,2,0,78.3,4.1,9,Low
81,Retail,Nairobi,Q4,Inventory Financing,Secondary,11.3,10,1242276.0,2926937.0,12,18.98,,0.161,681.0,1,0,31.4,3.6,5,Low
82,Technology,Kisumu,Q3,Working Capital,Certificate,3.1,5,797768.0,2227119.0,36,18.05,,0.609,765.0,1,1,40.2,4.0,3,Medium
83,Agriculture,Kisumu,Q3,Business Expansion,Secondary,3.9,4,2983979.0,7021345.0,60,13.32,6915536.0,0.387,539.0,2,0,35.5,,10,Low
84,Retail,Other,Q2,Equipment Purchase,Masters,1.5,10,402750.0,1119029.0,24,15.84,1202078.0,0.333,784.0,0,1,87.7,2.9,12,Low
85,Services,Nairobi,Q3,Equipment Purchase,Bachelors,8.7,11,388282.0,513763.0,36,14.37,836303.0,0.223,575.0,5,1,56.4,2.9,7,Medium
86,Manufacturing,Other,Q1,Business Expansion,Secondary,4.2,9,4514160.0,12250340.0,36,19.08,14669442.0,0.159,621.0,5,1,53.9,4.9,4,Low
87,Agriculture,Other,Q1,Inventory Financing,Diploma,13.0,7,1083240.0,956068.0,48,11.33,,0.604,707.0,3,1,2.9,3.2,4,Medium
88,Hospitality,Nairobi,Q2,Inventory Financing,Certificate,11.9,8,2048962.0,2953136.0,48,17.37,,0.252,573.0,1,0,78.2,2.6,4,Medium
89,Hospitality,Eldoret,Q4,Working Capital,Diploma,5.7,6,3338594.0,2852097.0,36,17.85,4880067.0,0.311,731.0,2,0,34.8,5.0,6,Low
90,Retail,Other,Q4,Inventory Financing,Masters,5.9,6,6487019.0,3605833.0,24,14.59,4068779.0,0.226,671.0,0,1,52.6,3.0,4,Low
91,Retail,Nakuru,Q3,Working Capital,Secondary,2.8,8,837485.0,2750232.0,18,14.28,,0.328,705.0,1,1,46.4,3.6,9,Medium
92,Services,Nairobi,Q3,Working Capital,Diploma,2.8,8,1431824.0,3989225.0,12,16.74,7050376.0,0.261,597.0,1,0,55.8,3.3,6,Low
93,Agriculture,Nakuru,Q4,Working Capital,Diploma,5.1,5,2983928.0,7158678.0,12,11.15,10146936.0,0.346,570.0,3,0,73.1,4.2,7,Low
94,Agriculture,Other,Q2,Working Capital,Masters,4.1,9,1625692.0,1459032.0,18,13.56,910298.0,0.173,653.0,1,2,55.9,2.2,4,Low
95,Hospitality,Nairobi,Q2,Inventory Financing,Secondary,13.9,6,1114877.0,1904237.0,48,11.4,900201.0,0.902,581.0,0,1,22.4,3.0,5,High
96,Services,Mombasa,Q3,Equipment Purchase,Diploma,3.0,4,2969204.0,5894729.0,18,17.02,3859198.0,0.479,651.0,4,1,57.3,3.7,9,Low
97,Retail,Nairobi,Q3,Equipment Purchase,Primary,7.5,10,570045.0,694781.0,24,12.64,739675.0,0.61,835.0,1,0,85.7,4.4,10,Low
98,Hospitality,Other,Q3,Inventory Financing,Diploma,4.3,7,3096973.0,4219424.0,36,14.62,,0.406,705.0,1,0,68.1,2.9,5,Medium
99,Retail,Eldoret,Q1,Inventory Financing,Masters,5.4,12,1614843.0,2863888.0,18,9.41,,0.625,641.0,0,1,67.6,5.0,7,Medium
100,Retail,Nairobi,Q3,Business Expansion,Bachelors,6.5,9,1685425.0,5665821.0,48,13.87,2740208.0,0.531,658.0,0,0,33.7,3.7,4,Low
101,Technology,Eldoret,Q2,Business Expansion,Primary,1.9,11,1010829.0,3285356.0,48,18.72,2284118.0,0.508,744.0,1,1,52.9,3.2,8,Low
102,Manufacturing,Nakuru,Q1,Inventory Financing,Masters,8.2,5,1469472.0,829010.0,24,16.88,,0.214,551.0,1,0,66.5,3.4,2,Low
103,Hospitality,Nairobi,Q4,Working Capital,Diploma,10.9,9,3520766.0,2082947.0,24,19.65,1178635.0,0.266,424.0,1,2,54.1,3.8,4,Medium
104,Agriculture,Kisumu,Q1,Inventory Financing,Diploma,10.0,7,2076892.0,4670180.0,60,8.0,2005119.0,0.325,604.0,2,0,87.4,3.6,10,Low
105,Services,Nakuru,Q1,Working Capital,Masters,4.4,2,3381679.0,4876368.0,24,8.0,7615070.0,0.534,647.0,0,1,100.0,2.9,3,Low
106,Hospitality,Nairobi,Q1,Working Capital,Diploma,2.5,10,2320393.0,5091987.0,24,20.92,3534247.0,0.314,659.0,2,1,49.5,3.3,11,Low
107,Agriculture,Kisumu,Q3,Inventory Financing,Secondary,8.8,4,1356978.0,3203584.0,6,16.96,5388437.0,0.677,631.0,1,0,7.2,4.2,5,Low
108,Manufacturing,Other,Q4,Working Capital,Certificate,3.3,7,1349511.0,4510668.0,24,11.58,,0.478,538.0,1,0,0.0,1.3,6,High
109,Hospitality,Nakuru,Q2,Working Capital,Bachelors,5.8,9,1720810.0,5415228.0,36,18.24,8683346.0,0.636,643.0,2,0,54.2,3.8,8,Low
110,Agriculture,Kisumu,Q1,Equipment Purchase,Certificate,0.9,7,1162018.0,2049249.0,24,17.16,2163361.0,0.122,821.0,1,2,41.8,3.2,3,Low
111,Services,Nairobi,Q2,Working Capital,Secondary,1.3,8,3857483.0,5745812.0,24,16.93,4074951.0,0.31,613.0,3,1,48.6,2.3,6,Low
112,Technology,Nairobi,Q2,Equipment Purchase,Certificate,4.3,11,774134.0,2038974.0,60,17.26,1884488.0,0.34,688.0,1,0,54.0,3.5,3,Low
113,Retail,Other,Q1,Equipment Purchase,Secondary,4.2,9,4938013.0,10932102.0,12,18.36,13364000.0,0.466,547.0,2,0,56.4,4.4,9,Low
114,Technology,Eldoret,Q3,Working Capital,Primary,2.2,7,1009455.0,598896.0,60,17.63,,0.376,602.0,3,1,60.1,4.3,8,Medium
115,Retail,Other,Q3,Business Expansion,Secondary,1.0,3,876660.0,730732.0,60,16.6,436695.0,0.377,626.0,1,0,42.1,3.7,7,Low
116,Services,Kisumu,Q2,Equipment Purchase,Diploma,6.3,5,1647271.0,4907655.0,18,17.3,2754785.0,0.257,704.0,1,0,71.5,3.8,7,Low
117,Services,Kisumu,Q2,Working Capital,Secondary,1.1,7,676938.0,1080118.0,24,16.58,,0.182,657.0,3,0,89.5,4.3,9,Low
118,Retail,Kisumu,Q4,Inventory Financing,Secondary,2.8,8,4674041.0,14881097.0,12,16.06,,0.135,623.0,3,1,19.7,3.3,3,Medium
119,Hospitality,Eldoret,Q3,Equipment Purchase,Bachelors,8.0,10,4943283.0,9152945.0,24,15.89,6015639.0,0.494,674.0,2,0,44.4,3.6,12,Low
120,Services,Nairobi,Q1,Working Capital,Diploma,4.8,15,4145263.0,7788582.0,48,14.93,,0.521,589.0,3,0,60.0,3.8,4,High
121,Retail,Mombasa,Q4,Inventory Financing,Bachelors,6.2,12,5236062.0,13759721.0,60,16.35,9752716.0,0.534,787.0,1,1,29.4,4.4,4,Low
122,Manufacturing,Mombasa,Q1,Equipment Purchase,Secondary,5.4,7,3720571.0,10279399.0,36,17.89,14598339.0,0.471,656.0,3,0,45.7,2.9,9,Low
123,Services,Nakuru,Q4,Working Capital,Diploma,5.5,10,508820.0,1128463.0,60,15.42,,0.679,645.0,2,0,48.0,3.8,5,High
124,Agriculture,Nairobi,Q1,Working Capital,Secondary,4.3,12,2516230.0,3749702.0,12,15.43,5376914.0,0.091,591.0,5,0,59.8,4.1,5,Low
125,Manufacturing,Nairobi,Q3,Working Capital,Certificate,2.2,9,997462.0,3272881.0,36,20.89,,0.457,684.0,1,0,98.6,3.6,5,Medium
126,Retail,Nairobi,Q2,Working Capital,Certificate,9.9,7,3071443.0,8260820.0,24,21.23,,0.809,657.0,0,0,63.7,4.1,10,High
127,Retail,Nairobi,Q4,Working Capital,Diploma,5.6,7,1387978.0,1979803.0,6,16.19,1128029.0,0.541,581.0,3,1,42.2,3.7,8,Medium
128,Hospitality,Other,Q2,Working Capital,Diploma,5.3,15,1239519.0,1528243.0,6,13.61,2120885.0,0.403,612.0,0,1,74.1,2.8,8,Low
129,Retail,Nakuru,Q1,Working Capital,Bachelors,24.5,6,1156580.0,3865188.0,24,20.12,,0.38,386.0,0,0,97.7,3.3,3,High
130,Hospitality,Eldoret,Q2,Business Expansion,Diploma,2.1,11,2297809.0,5688903.0,6,11.12,9692086.0,0.304,,0,0,80.4,3.2,8,Low
131,Technology,Mombasa,Q2,Working Capital,Certificate,9.9,5,3580278.0,5217504.0,36,20.42,,0.395,629.0,4,1,41.1,2.1,6,Low
132,Agriculture,Nairobi,Q3,Working Capital,Bachelors,5.7,9,825441.0,1628017.0,12,19.61,,0.233,487.0,1,0,36.3,3.0,3,Medium
133,Hospitality,Mombasa,Q1,Working Capital,Secondary,1.6,7,2000798.0,3449616.0,24,14.32,4425196.0,0.783,585.0,1,2,54.6,,5,Low
134,Hospitality,Other,Q2,Working Capital,Bachelors,3.1,8,2149736.0,6794033.0,18,15.37,3726903.0,0.66,749.0,1,1,39.3,3.2,3,Low
135,Technology,Kisumu,Q4,Working Capital,Diploma,3.6,9,1504260.0,3199614.0,12,12.62,,0.474,586.0,1,1,47.1,3.1,4,Medium
136,Agriculture,Nakuru,Q3,Business Expansion,Secondary,1.4,7,1377346.0,2253597.0,24,16.31,1760324.0,0.325,745.0,2,1,0.0,4.2,2,Low
137,Technology,Mombasa,Q1,Inventory Financing,Bachelors,3.3,8,3460784.0,6741913.0,12,12.45,7434702.0,0.344,478.0,4,0,58.0,3.4,3,Low
138,Agriculture,Nairobi,Q1,Inventory Financing,Secondary,8.4,16,4046006.0,13974857.0,48,11.53,,0.74,662.0,3,0,27.3,4.1,5,High
139,Agriculture,Nakuru,Q3,Equipment Purchase,Primary,11.1,4,2878984.0,5141762.0,48,16.28,2436600.0,0.02,556.0,3,1,29.6,,7,Low
140,Services,Mombasa,Q3,Inventory Financing,Secondary,6.1,16,2643231.0,4117831.0,18,13.83,1852022.0,0.527,549.0,0,0,43.8,1.7,1,Medium
141,Services,Nairobi,Q1,Inventory Financing,Diploma,5.4,5,2712770.0,4944867.0,36,15.37,2721064.0,0.221,675.0,2,1,42.7,4.3,5,Low
142,Agriculture,Nairobi,Q4,Business Expansion,Diploma,4.4,12,1125572.0,3894131.0,60,14.82,2869583.0,0.241,684.0,0,1,48.1,3.5,10,Low
143,Hospitality,Nakuru,Q1,Inventory Financing,Secondary,2.8,11,1532569.0,1388842.0,24,13.4,1219917.0,0.172,493.0,1,0,68.2,5.0,4,Medium
144,Services,Nairobi,Q4,Equipment Purchase,Diploma,3.7,7,1662325.0,2049878.0,36,16.29,1878197.0,0.357,510.0,2,0,59.4,5.0,7,Low
145,Hospitality,Kisumu,Q1,Business Expansion,Masters,6.3,12,926231.0,2723298.0,12,12.89,3182088.0,0.134,689.0,1,1,100.0,3.5,5,Low
146,Technology,Nairobi,Q3,Equipment Purchase,Doctorate,1.4,5,2622145.0,3149572.0,24,17.08,1669377.0,0.716,604.0,1,1,35.6,2.8,6,Medium
147,Retail,Eldoret,Q4,Business Expansion,Bachelors,4.2,10,5520143.0,12085414.0,36,13.99,7337179.0,0.157,712.0,2,1,63.8,3.5,8,Low
148,Hospitality,Mombasa,Q4,Business Expansion,Secondary,5.3,8,6181638.0,20739899.0,36,19.27,12915439.0,0.287,655.0,2,1,60.3,4.3,8,Low
149,Agriculture,Mombasa,Q4,Working Capital,Certificate,5.8,14,1446486.0,2272880.0,36,14.22,1418436.0,0.586,740.0,1,0,8.0,5.0,3,Low
150,Technology,Other,Q1,Inventory Financing,Bachelors,1.3,10,1155935.0,3697022.0,48,17.65,,0.197,735.0,1,0,77.3,5.0,6,Low
151,Retail,Nakuru,Q3,Working Capital,Bachelors,12.4,11,1085117.0,1850817.0,36,18.3,2447221.0,0.203,551.0,1,1,72.4,4.1,8,Low
152,Services,Eldoret,Q2,Equipment Purchase,Masters,7.1,8,2645279.0,5473406.0,24,15.35,2697989.0,0.579,696.0,1,0,35.7,3.9,6,Low
153,Manufacturing,Nairobi,Q2,Business Expansion,Certificate,2.5,9,1519938.0,3416004.0,60,11.9,4228296.0,0.863,648.0,1,0,59.4,4.3,7,Low
154,Manufacturing,Other,Q2,Inventory Financing,Secondary,3.5,6,3423637.0,3559385.0,24,17.83,5905426.0,0.101,647.0,3,0,50.7,2.8,6,Low
155,Manufacturing,Mombasa,Q2,Working Capital,Secondary,8.2,7,852792.0,1316428.0,60,11.75,615497.0,0.43,675.0,1,0,83.9,4.3,7,Low
156,Technology,Other,Q3,Business Expansion,Bachelors,9.1,4,1935664.0,3579689.0,24,16.83,3105563.0,0.288,696.0,1,0,35.9,3.7,5,Low
157,Hospitality,Other,Q1,Working Capital,Masters,2.7,5,1085481.0,3338396.0,18,11.1,,0.568,440.0,3,1,51.0,3.2,3,High
158,Hospitality,Nakuru,Q4,Working Capital,Diploma,2.2,8,1878273.0,1079007.0,18,14.36,,0.725,679.0,1,1,29.9,3.1,6,Medium
159,Retail,Other,Q2,Working Capital,Certificate,10.8,7,1553747.0,3936300.0,12,15.21,,0.704,610.0,3,0,55.4,2.4,5,High
160,Retail,Kisumu,Q2,Business Expansion,Diploma,6.9,7,515368.0,483484.0,6,13.82,218575.0,0.523,741.0,3,1,31.9,3.1,6,Low
161,Retail,Eldoret,Q4,Working Capital,Certificate,4.7,7,2802752.0,3390208.0,6,16.26,1739603.0,0.659,811.0,2,2,0.0,3.6,2,Low
162,Technology,Nairobi,Q1,Inventory Financing,Diploma,3.4,9,1674143.0,919460.0,6,17.29,,0.377,638.0,2,0,26.6,3.2,10,Medium
163,Services,Other,Q3,Working Capital,Secondary,4.4,8,1826010.0,1983424.0,48,15.98,,0.469,625.0,0,1,8.0,2.7,6,Medium
164,Retail,Other,Q3,Working Capital,Primary,2.3,9,1508136.0,2879352.0,36,16.2,,0.608,,1,1,66.6,3.3,6,High
165,Manufacturing,Nairobi,Q4,Working Capital,Certificate,9.1,6,949600.0,815482.0,48,19.64,554857.0,0.531,593.0,5,0,52.3,3.0,11,Medium
166,Agriculture,Nairobi,Q1,Working Capital,Secondary,5.7,5,1705200.0,1134761.0,24,17.84,,0.298,746.0,0,1,45.2,3.4,3,Low
167,Agriculture,Kisumu,Q1,Inventory Financing,Secondary,6.2,15,2782009.0,2477829.0,60,16.74,,0.559,691.0,2,0,49.6,1.6,5,Medium
