store_id,store_format,location_type,delivery_available,store_size_category,store_age_years,store_size_sqm,num_staff,promotions_active,footfall_count,loyalty_program_members,online_order_count,avg_basket_size_kes,local_events_nearby,daily_sales_revenue_kes
149,Hypermarket,Street,Yes,Small,1.1,86.6,4,0,56.0,19,22.255501774323843,1006.6566569093451,0,93142.0
150,Convenience,Residential,No,Small,3.2,146.9,4,0,124.0,40,,1236.8323113162523,0,74031.0
151,Supermarket,CBD,Yes,Small,5.6,158.5,4,2,118.0,35,29.265555490275858,962.3727186852839,0,182067.0
152,Supermarket,Mall,No,Small,6.7,99.7,3,1,213.0,63,,,1,76956.0
153,Convenience,CBD,No,Small,3.3,33.4,1,2,241.0,69,,926.7528883698653,1,109581.0
154,Convenience,Residential,No,Medium,7.7,338.2,6,1,106.0,33,,904.0004071529411,0,66723.0
155,Convenience,Residential,No,Small,7.8,43.9,2,1,47.0,16,,,0,49549.0
156,Convenience,Residential,Yes,Medium,6.7,249.9,4,2,166.0,47,25.86480554231952,982.0250984165967,0,127021.0
157,Convenience,Residential,Yes,Small,11.8,99.4,1,0,151.0,39,8.071099939978662,1097.0347670500955,0,51757.0
158,Kiosk,Street,Yes,Medium,2.6,179.3,2,4,108.0,24,29.89864253741748,1312.3668757498665,0,188588.0
159,Supermarket,Street,Yes,Small,3.0,126.3,1,1,217.0,67,22.62871468227987,872.8847699796307,2,150745.0
160,Convenience,Residential,No,Large,1.0,473.1,10,0,74.0,25,,1513.2675820197674,0,115069.0
161,Hypermarket,Street,No,Small,1.9,164.6,3,2,363.0,95,,903.379989606403,1,170006.0
162,Kiosk,CBD,Yes,Medium,6.1,235.6,5,0,274.0,85,29.43264705703322,1192.234415397638,1,145858.0
163,Hypermarket,Street,Yes,Medium,4.6,361.8,8,2,150.0,34,73.93995987376526,401.6933517689084,2,169717.0
164,Kiosk,Residential,No,Small,2.0,137.8,2,2,142.0,48,,1283.0110355661045,0,51572.0
165,Kiosk,Residential,Yes,Large,8.5,371.5,10,1,265.0,82,17.358973679533328,845.9254755262833,0,150362.0
166,Convenience,Street,No,Large,15.6,391.1,9,1,15.0,5,,745.1603719425933,0,57836.0
167,Kiosk,Residential,No,Large,1.5,471.7,10,1,183.0,52,,,0,62034.0
168,Convenience,Street,No,Large,1.9,419.4,12,3,87.0,27,,1377.8355713124847,2,124267.0
169,Convenience,Street,No,Medium,12.8,369.6,11,0,347.0,89,,1103.5215167074498,0,122244.0
170,Supermarket,Residential,No,Small,1.3,105.3,3,1,77.0,18,,,0,86673.0
171,Supermarket,Street,No,Small,2.1,152.0,5,4,121.0,40,,1278.8483656061837,2,103693.0
172,Supermarket,Mall,No,Small,8.1,133.0,4,2,119.0,26,,835.9766428325739,0,127193.0
173,Hypermarket,Street,No,Small,10.3,110.8,5,4,48.0,11,,974.810548062183,0,81681.0
174,Hypermarket,Mall,No,Large,6.3,292.3,5,0,167.0,47,,1279.7329757661278,0,338588.0
175,Supermarket,Residential,No,Small,9.4,180.2,4,2,221.0,55,,1117.6733711890488,0,189621.0
176,Convenience,Street,Yes,Large,14.2,316.4,8,2,207.0,61,9.976840328565512,1022.1062270455003,1,186005.0
177,Convenience,Mall,Yes,Small,12.5,170.5,1,2,364.0,117,96.41325250630958,1337.5063515897255,2,141797.0
178,Supermarket,Mall,No,Small,3.6,29.0,2,1,551.0,140,,944.531946409904,0,201139.0
179,Supermarket,Residential,No,Medium,5.7,233.8,5,1,220.0,69,,1485.551922728969,0,168796.0
180,Kiosk,CBD,Yes,Large,12.1,304.1,7,2,322.0,76,8.904645462757264,788.4704782168919,0,202248.0
181,Supermarket,Mall,No,Medium,4.3,31.1,1,3,127.0,48,,,0,153582.0
182,Convenience,CBD,No,Small,8.1,53.2,1,3,166.0,50,,1140.8616975287048,2,68122.0
183,Convenience,Street,Yes,Large,7.2,343.9,7,2,62.0,16,9.610426419366185,1002.1774116639289,0,130822.0
184,Supermarket,Residential,No,Medium,1.3,169.6,6,3,123.0,38,,1195.3679766014077,1,210501.0
185,Supermarket,Mall,No,Medium,2.6,75.2,2,0,212.0,58,,,0,201164.0
186,Kiosk,Mall,No,Large,3.6,419.1,9,1,209.0,66,,958.767651625974,2,169978.0
187,Kiosk,Street,No,Small,4.1,147.3,1,1,65.0,17,,928.1010591205886,1,39462.0
188,Supermarket,CBD,No,Medium,3.2,274.6,9,4,394.0,113,,1059.8544077417869,2,296412.0
189,Kiosk,Street,No,Small,9.1,130.7,1,2,146.0,38,,901.3646649830176,0,41310.0
190,Kiosk,CBD,No,Medium,4.9,357.3,9,1,141.0,37,,963.4029873587702,1,86758.0
191,Convenience,CBD,Yes,Medium,12.9,252.3,5,2,115.0,26,55.407505416461646,1142.6981385807346,0,120290.0
192,Supermarket,Street,Yes,Small,5.1,55.5,2,2,184.0,51,19.108636056974497,202.48672369964663,3,63117.0
193,Supermarket,Mall,No,Medium,3.5,138.7,4,1,49.0,13,,807.1289819465471,0,123436.0
194,Supermarket,Mall,No,Medium,3.3,254.2,5,3,350.0,110,,1776.674447333436,1,301851.0
195,Supermarket,Mall,No,Large,1.8,251.2,5,1,152.0,49,,1424.6116434076803,0,284441.0
196,Convenience,Street,Yes,Large,6.7,376.1,8,0,99.0,34,33.72914431503424,1098.4405587367837,0,74473.0
197,Kiosk,Residential,No,Medium,0.2,189.3,5,4,158.0,39,,819.8893171336449,0,134562.0
198,Hypermarket,Street,No,Small,4.7,111.9,3,1,105.0,27,,1026.422001505718,1,83077.0
199,Supermarket,CBD,Yes,Small,3.8,45.4,1,1,225.0,80,22.11216517804353,1175.8651384801387,0,119226.0
200,Convenience,Residential,Yes,Small,5.5,111.3,2,2,146.0,35,7.209552612924855,1103.2970404684365,0,87199.0
201,Hypermarket,Street,No,Medium,2.3,162.4,3,1,130.0,34,,1716.1122024053611,1,126649.0
202,Supermarket,Street,No,Small,4.3,85.3,1,2,128.0,35,,1336.4645556487549,2,98589.0
203,Kiosk,Residential,No,Medium,2.4,234.9,3,1,94.0,40,,882.5381820388095,0,60571.0
204,Kiosk,Mall,Yes,Large,3.6,394.5,8,2,152.0,46,13.574470666133143,1202.7758176673444,0,265438.0
205,Convenience,Residential,No,Small,6.2,25.0,1,0,144.0,40,,1054.039393333633,0,61931.0
206,Hypermarket,Residential,Yes,Medium,6.4,207.0,5,2,96.0,27,62.341442185134284,439.89397203898847,1,120331.0
207,Supermarket,Residential,Yes,Small,7.3,164.5,5,1,42.0,13,28.566214168432868,1201.5952511025341,1,35748.0
208,Convenience,Mall,Yes,Large,3.9,203.6,5,0,105.0,29,21.905752000922448,1397.78553385275,1,174159.0
209,Convenience,Residential,Yes,Medium,5.6,136.7,3,2,152.0,42,14.360823209070615,570.4125872908913,0,119661.0
210,Supermarket,Street,No,Medium,4.7,355.9,9,3,151.0,50,,,1,157530.0
211,Kiosk,Street,Yes,Medium,5.6,115.6,5,2,31.0,10,18.96600063781115,796.9030777977501,0,38296.0
212,Supermarket,Street,No,Medium,9.5,208.2,5,2,79.0,24,,1160.4801253198139,0,112975.0
213,Supermarket,CBD,Yes,Large,6.3,529.7,12,4,27.0,9,18.309089515731994,852.7888994223694,0,155449.0
214,Convenience,Residential,Yes,Medium,1.1,355.8,11,3,130.0,35,76.56589511757271,324.8400392930379,2,62174.0
215,Supermarket,Street,No,Small,2.9,106.1,2,4,240.0,71,,1016.5911853718268,0,126918.0
216,Kiosk,Residential,Yes,Small,4.3,119.6,4,1,214.0,55,32.308034380868314,1460.7653326651682,0,88977.0
217,Convenience,Residential,No,Large,3.9,333.6,10,2,220.0,55,,424.0721357277372,1,170422.0
218,Convenience,Residential,No,Small,0.5,223.8,4,1,134.0,39,,1050.4868282156606,2,93877.0
219,Convenience,Mall,No,Large,3.1,429.2,9,1,126.0,38,,538.7283928797597,0,165458.0
220,Kiosk,CBD,No,Medium,2.8,210.0,4,0,59.0,12,,281.1391485506788,1,217718.0
221,Kiosk,Residential,No,Large,6.9,219.0,6,4,40.0,11,,576.3817434930237,0,125162.0
222,Supermarket,Residential,Yes,Small,5.6,138.5,1,3,111.0,26,11.137404511586372,,0,64076.0
223,Supermarket,Residential,No,Medium,4.9,283.0,7,1,79.0,21,,854.509172496891,0,92097.0
224,Supermarket,CBD,Yes,Medium,7.7,316.0,7,1,278.0,89,35.99271320854325,974.1698725321103,0,222704.0
225,Supermarket,Mall,No,Small,2.2,175.4,2,1,256.0,82,,1169.5219629804194,0,243228.0
226,Convenience,Residential,No,Medium,5.4,79.1,1,0,146.0,38,,843.8442752595261,1,97840.0
227,Hypermarket,Street,No,Medium,7.7,356.4,7,0,104.0,33,,1001.9035431559098,0,163721.0
228,Convenience,CBD,No,Large,3.2,275.3,4,0,154.0,43,,995.1042138693903,0,122534.0
229,Convenience,Mall,Yes,Medium,3.3,259.6,7,1,216.0,53,80.97312740188733,,2,100224.0
230,Hypermarket,Residential,No,Small,8.1,156.7,4,1,294.0,83,,848.4891726878207,0,139263.0
231,Hypermarket,Mall,No,Large,2.2,401.7,9,4,135.0,45,,1075.7369624503067,0,488268.0
232,Kiosk,Street,Yes,Small,1.4,133.7,3,2,187.0,55,13.842497488575098,1155.968626159621,1,50703.0
233,Kiosk,Street,No,Small,6.7,130.9,2,0,116.0,31,,802.2398365438089,0,29445.0
234,Convenience,Street,Yes,Large,5.7,348.9,6,1,56.0,13,12.284922214000922,693.9661854549083,0,45619.0
235,Convenience,Residential,Yes,Medium,8.9,364.1,10,1,265.0,70,4.067202994412994,666.8631407570172,0,124492.0
236,Supermarket,CBD,Yes,Medium,5.5,113.3,2,5,188.0,70,16.284898943460767,328.52817221688395,0,183334.0
237,Supermarket,Residential,Yes,Medium,9.7,229.0,3,2,339.0,101,24.25855248354624,804.8543582360971,1,162672.0
238,Convenience,Mall,No,Small,2.9,64.4,1,2,340.0,94,,1107.4643979833033,2,83999.0
239,Convenience,Mall,No,Small,3.2,25.0,1,0,111.0,40,,2062.925887058569,0,122468.0
240,Supermarket,CBD,Yes,Medium,2.5,265.6,2,0,59.0,13,33.99473389292749,1555.4394432335741,0,147902.0
241,Kiosk,Street,No,Medium,8.4,227.0,4,1,176.0,58,,1806.148162792303,0,56436.0
242,Convenience,Mall,No,Small,1.6,28.1,2,4,236.0,67,,751.9175041461737,4,160835.0
243,Supermarket,CBD,No,Small,2.0,183.2,3,3,223.0,63,,833.615321618285,0,189284.0
244,Kiosk,Residential,No,Small,2.8,190.2,3,2,103.0,32,,1434.2569795296743,0,49744.0
245,Kiosk,Residential,Yes,Medium,7.6,250.1,6,1,230.0,84,46.763529466093914,875.270288769915,2,100073.0
246,Convenience,CBD,Yes,Medium,1.4,398.1,10,2,142.0,46,9.035019027632414,100.0,0,86208.0
247,Kiosk,Residential,Yes,Large,2.0,274.8,6,2,107.0,36,11.626456518088647,994.2040886305588,2,82992.0
248,Convenience,Mall,No,Medium,10.3,155.8,3,0,97.0,24,,745.653170129124,0,94698.0
249,Hypermarket,Street,Yes,Medium,11.5,210.5,2,0,92.0,28,75.35124742359417,620.340233025939,2,73173.0
250,Kiosk,CBD,No,Medium,4.1,217.1,5,3,54.0,12,,,0,86226.0
251,Supermarket,Residential,No,Small,2.8,107.2,2,0,219.0,62,,694.6561726926268,0,58417.0
252,Supermarket,Residential,No,Medium,20.3,123.6,2,1,234.0,59,,756.0366246104618,0,115746.0
253,Kiosk,Residential,No,Medium,8.3,270.9,3,0,99.0,30,,773.489661738127,1,49590.0
254,Convenience,CBD,No,Small,7.9,77.9,2,0,156.0,46,,1326.815367675763,1,62504.0
