property_id,property_type,neighborhood,furnishing_status,property_age_years,size_sqm,num_bedrooms,num_bathrooms,distance_to_cbd_km,service_charge_kes,garage_size_sqm,security_rating,amenities_score,nearby_schools_count,monthly_rent_kes
124,Bungalow,Ruaka,Semi-Furnished,3.6,74.9,2,2,8.8,14719.0,18.5,3.0,75.2,2,81302.0
125,Apartment,Westlands,Unfurnished,7.4,88.3,3,2,4.8,19744.0,,3.0,37.8,1,92727.0
126,Apartment,Kilimani,Semi-Furnished,8.5,56.3,1,1,2.4,9540.0,,3.0,81.4,1,40142.0
127,Apartment,Westlands,Unfurnished,22.7,139.8,4,4,29.6,26679.0,,3.0,31.0,6,131455.0
128,Bungalow,Kilimani,Unfurnished,4.6,86.3,3,2,4.5,17179.0,21.5,2.0,46.8,3,87254.0
129,Apartment,South B,Unfurnished,11.2,71.4,2,2,5.3,13698.0,,3.0,69.5,3,34284.0
130,Apartment,Kilimani,Unfurnished,5.0,60.8,2,2,4.2,10416.0,,3.0,75.1,4,72967.0
131,Townhouse,Kilimani,Fully Furnished,6.0,131.9,6,5,4.7,26061.0,22.5,3.0,40.0,3,419782.0
132,Bungalow,Kilimani,Unfurnished,5.2,117.5,4,3,21.1,26647.0,9.4,,5.5,5,94693.0
133,Studio,South B,Fully Furnished,11.9,59.4,2,1,0.5,15356.0,,4.0,51.4,2,39373.0
134,Apartment,Ruaka,Semi-Furnished,9.2,42.1,1,1,2.9,7807.0,,5.0,56.8,0,24770.0
135,Apartment,Kilimani,Semi-Furnished,1.9,110.8,3,2,1.9,17181.0,,2.0,56.0,2,105659.0
136,Townhouse,Westlands,Semi-Furnished,11.3,142.3,4,4,6.6,22392.0,12.9,2.0,47.9,1,181917.0
137,Townhouse,Kilimani,Unfurnished,9.4,70.7,2,1,10.7,11465.0,15.7,4.0,55.8,6,58808.0
138,Townhouse,Kilimani,Unfurnished,8.2,107.1,4,3,12.8,22551.0,12.9,3.0,54.4,5,143165.0
139,Studio,Karen,Unfurnished,10.8,100.8,3,2,10.2,10258.0,,2.0,91.1,2,63586.0
140,Bungalow,Ngong Road,Unfurnished,2.3,90.7,3,2,8.3,18640.0,18.0,4.0,74.0,1,52464.0
141,Apartment,Ngong Road,Unfurnished,1.8,136.8,5,3,4.9,18232.0,,3.0,38.3,0,127687.0
142,Maisonette,Ngong Road,Unfurnished,4.0,113.9,3,3,12.6,20098.0,15.2,3.0,97.7,3,140667.0
143,Bungalow,Kilimani,Unfurnished,7.7,50.3,1,1,6.3,10299.0,8.1,4.0,68.5,1,48842.0
144,Apartment,South B,Unfurnished,9.9,91.0,3,3,5.0,16981.0,,4.0,12.5,2,41821.0
145,Apartment,Westlands,Semi-Furnished,3.5,38.8,1,1,5.2,8129.0,,4.0,43.3,1,34955.0
146,Apartment,Ruaka,Unfurnished,4.7,49.1,1,2,7.7,9559.0,,2.0,53.4,2,24428.0
147,Bungalow,Westlands,Unfurnished,11.1,58.7,3,3,3.1,10702.0,14.6,3.0,91.0,0,72524.0
148,Maisonette,South B,Unfurnished,4.5,70.9,2,2,7.8,11866.0,28.9,2.0,27.3,2,45263.0
149,Apartment,Westlands,Unfurnished,3.6,65.7,3,3,4.5,11428.0,,5.0,63.1,3,55888.0
150,Townhouse,Ngong Road,Fully Furnished,2.7,90.4,2,3,4.9,16739.0,8.0,3.0,71.6,2,78642.0
151,Maisonette,Westlands,Unfurnished,12.5,97.0,3,3,12.1,18338.0,21.2,4.0,47.4,2,103602.0
152,Maisonette,Westlands,Unfurnished,1.7,92.0,2,2,3.5,19722.0,10.8,,31.3,1,58844.0
153,Apartment,South B,Unfurnished,5.3,65.1,2,2,5.1,10240.0,,3.0,27.2,5,34775.0
154,Apartment,Kilimani,Fully Furnished,7.0,89.7,3,2,3.7,22047.0,,2.0,51.2,2,87748.0
155,Maisonette,Kilimani,Unfurnished,1.7,102.8,4,4,3.6,12194.0,12.1,4.0,26.7,0,148966.0
156,Townhouse,Kilimani,Unfurnished,7.9,143.0,4,4,13.4,27568.0,19.6,5.0,76.7,2,198054.0
157,Apartment,South B,Semi-Furnished,14.8,93.0,3,2,21.8,10890.0,,3.0,51.0,5,55528.0
158,Apartment,Ngong Road,Fully Furnished,7.1,110.7,4,3,1.7,19333.0,,2.0,83.6,1,139293.0
159,Apartment,Karen,Unfurnished,1.2,85.5,2,2,1.4,12078.0,,3.0,13.1,5,69960.0
160,Maisonette,Karen,Fully Furnished,1.2,22.0,1,1,2.8,3979.0,8.8,3.0,68.6,3,34085.0
161,Maisonette,Kilimani,Semi-Furnished,12.9,22.0,2,2,10.4,3598.0,12.4,3.0,69.1,3,37579.0
162,Apartment,Kilimani,Unfurnished,4.0,110.8,3,4,5.8,15778.0,,3.0,64.2,5,126287.0
163,Apartment,Westlands,Fully Furnished,3.8,109.5,3,3,2.5,26116.0,,5.0,64.2,3,103942.0
164,Studio,Ruaka,Semi-Furnished,1.1,60.7,3,2,4.3,10331.0,,,79.2,6,41364.0
165,Apartment,Westlands,Unfurnished,6.4,35.3,1,2,0.5,6553.0,,4.0,74.1,2,28969.0
166,Maisonette,Westlands,Semi-Furnished,9.2,111.3,4,3,2.2,16075.0,13.7,5.0,44.3,1,225709.0
167,Studio,Ruaka,Unfurnished,3.0,110.0,4,4,5.0,6001.0,,5.0,32.7,0,56321.0
168,Apartment,Ngong Road,Fully Furnished,3.1,22.0,0,1,6.6,4668.0,,3.0,62.2,2,30787.0
169,Studio,Kilimani,Unfurnished,4.9,43.1,1,2,5.4,9807.0,,,59.1,1,28949.0
170,Apartment,Kilimani,Unfurnished,5.7,85.6,3,2,3.4,15615.0,,3.0,59.3,0,112620.0
171,Maisonette,Kilimani,Semi-Furnished,16.9,118.9,3,2,4.5,15747.0,18.0,4.0,54.9,3,163607.0
172,Townhouse,Ngong Road,Semi-Furnished,5.4,73.6,3,3,3.8,11488.0,12.2,2.0,47.9,1,123401.0
173,Bungalow,Karen,Unfurnished,1.9,85.6,2,2,7.7,17148.0,11.5,4.0,76.3,1,74637.0
174,Apartment,Ngong Road,Unfurnished,8.5,132.3,5,5,3.9,19798.0,,,37.2,1,135402.0
175,Maisonette,Karen,Unfurnished,13.1,95.3,3,3,6.3,12691.0,17.8,,85.3,1,174787.0
176,Apartment,Kilimani,Semi-Furnished,1.8,115.6,4,3,4.7,31502.0,,3.0,28.5,2,115898.0
177,Apartment,Ruaka,Unfurnished,3.4,91.8,2,3,16.6,10709.0,,4.0,64.6,3,55395.0
178,Apartment,Kilimani,Semi-Furnished,8.0,131.3,5,4,4.6,22770.0,,4.0,34.0,1,251737.0
179,Apartment,South B,Unfurnished,4.7,84.1,3,3,2.0,23567.0,,3.0,52.7,0,67175.0
180,Maisonette,Kilimani,Semi-Furnished,11.7,92.3,3,2,15.3,15437.0,11.2,2.0,53.1,2,91140.0
181,Apartment,Westlands,Unfurnished,5.0,104.7,3,2,5.1,18302.0,,4.0,53.5,1,62122.0
182,Maisonette,Ngong Road,Fully Furnished,6.0,99.5,3,3,5.6,21164.0,22.7,4.0,31.5,3,108864.0
183,Apartment,South B,Unfurnished,6.3,107.7,4,4,7.3,17185.0,,4.0,96.6,2,511403.0
184,Maisonette,Ruaka,Unfurnished,7.8,110.6,4,4,5.4,21816.0,15.3,4.0,39.1,1,128020.0
185,Maisonette,Karen,Fully Furnished,2.7,91.5,3,3,12.9,16040.0,32.4,5.0,73.9,2,121585.0
186,Apartment,South B,Unfurnished,5.6,78.9,2,1,3.9,11662.0,,5.0,53.1,4,41136.0
187,Apartment,Westlands,Unfurnished,4.0,130.8,5,4,4.7,22452.0,,3.0,36.8,4,214377.0
188,Apartment,Kilimani,Unfurnished,14.7,90.8,3,3,11.6,17448.0,,5.0,48.0,1,97042.0
189,Apartment,Westlands,Semi-Furnished,1.3,94.1,4,3,9.9,18551.0,,3.0,23.9,4,156466.0
190,Bungalow,Ruaka,Unfurnished,10.4,42.0,2,3,11.2,6907.0,21.0,4.0,54.6,3,38035.0
191,Studio,Kilimani,Unfurnished,15.3,70.4,2,2,0.5,10123.0,,,46.4,0,40300.0
192,Bungalow,South B,Unfurnished,6.5,45.3,3,3,7.8,14038.0,25.9,3.0,78.1,2,40503.0
193,Apartment,Ngong Road,Unfurnished,3.3,100.9,2,2,10.9,17249.0,,4.0,52.4,3,40711.0
194,Townhouse,Karen,Unfurnished,7.3,73.2,3,2,3.7,11225.0,15.0,4.0,41.7,1,84050.0
195,Apartment,Westlands,Semi-Furnished,1.2,55.0,2,1,2.5,12711.0,,4.0,29.1,3,65698.0
196,Bungalow,Kilimani,Fully Furnished,1.5,124.0,3,3,2.5,16219.0,0.9,5.0,33.1,0,204006.0
197,Studio,South B,Unfurnished,4.5,91.3,3,3,2.6,20061.0,,5.0,56.8,0,36858.0
198,Townhouse,Karen,Unfurnished,4.6,77.1,2,1,6.2,12908.0,18.9,4.0,39.5,0,59398.0
199,Townhouse,Ngong Road,Unfurnished,4.9,166.2,6,5,2.8,27240.0,24.2,4.0,66.9,3,356503.0
200,Studio,Karen,Unfurnished,6.4,99.4,2,2,14.2,15312.0,,3.0,40.4,3,54830.0
201,Studio,Ruaka,Unfurnished,5.2,22.0,0,1,7.4,2091.0,,3.0,60.6,3,13070.0
202,Apartment,Westlands,Unfurnished,2.6,133.6,3,2,2.3,22204.0,,4.0,71.3,3,203543.0
203,Apartment,Ruaka,Unfurnished,18.7,100.0,3,3,13.8,16727.0,,4.0,85.2,4,110732.0
204,Bungalow,South B,Unfurnished,17.6,172.5,5,4,6.8,34487.0,10.7,5.0,93.7,0,271244.0
205,Townhouse,Westlands,Semi-Furnished,4.0,148.3,5,4,13.9,30474.0,18.1,5.0,67.7,4,412686.0
206,Studio,Ruaka,Semi-Furnished,19.6,60.7,1,1,11.8,13665.0,,5.0,85.6,2,13757.0
207,Townhouse,Ngong Road,Unfurnished,10.7,108.6,4,3,2.6,26032.0,13.7,4.0,40.6,3,132551.0
208,Apartment,Westlands,Semi-Furnished,4.2,35.9,1,1,16.1,6444.0,,3.0,62.5,4,36249.0
209,Apartment,Kilimani,Unfurnished,8.3,88.8,3,3,4.2,16985.0,,3.0,72.2,6,99522.0
210,Townhouse,Ngong Road,Semi-Furnished,4.7,44.1,1,1,11.8,8358.0,18.3,4.0,100.0,4,35201.0
211,Townhouse,Kilimani,Unfurnished,5.5,89.1,2,1,9.2,15171.0,10.8,3.0,28.2,1,95540.0
212,Studio,Ngong Road,Unfurnished,1.2,94.0,4,4,10.9,14888.0,,3.0,51.9,2,71587.0
213,Bungalow,Ngong Road,Semi-Furnished,6.5,123.3,4,3,7.2,18733.0,11.0,2.0,7.2,1,102234.0
214,Apartment,Westlands,Unfurnished,0.3,71.5,3,3,10.4,10400.0,,5.0,25.3,4,60973.0
215,Apartment,Karen,Unfurnished,8.9,143.5,5,4,3.3,35384.0,,2.0,75.1,2,406794.0
216,Apartment,Kilimani,Unfurnished,0.4,25.7,2,2,18.8,4836.0,,2.0,45.7,4,50686.0
217,Townhouse,Ruaka,Unfurnished,7.3,51.1,1,1,7.1,6020.0,21.5,3.0,24.9,1,114214.0
218,Studio,Kilimani,Semi-Furnished,4.2,86.6,2,2,17.6,13249.0,,4.0,41.3,0,41697.0
219,Maisonette,Ngong Road,Semi-Furnished,1.7,84.4,2,3,8.6,15558.0,16.8,2.0,36.4,2,87741.0
220,Apartment,Kilimani,Semi-Furnished,13.3,35.0,1,1,5.1,6473.0,,3.0,12.8,0,22977.0
221,Maisonette,Ngong Road,Unfurnished,5.8,137.7,4,3,9.2,25317.0,20.9,2.0,26.7,1,118182.0
222,Bungalow,Westlands,Fully Furnished,5.7,91.6,3,3,8.1,16162.0,16.6,4.0,51.3,1,114824.0
223,Townhouse,Westlands,Unfurnished,4.8,59.2,1,2,19.2,7586.0,11.9,5.0,61.0,2,50620.0
224,Apartment,Kilimani,Unfurnished,12.2,72.6,2,2,15.9,13612.0,,3.0,30.8,1,38230.0
225,Studio,Westlands,Fully Furnished,5.8,93.6,3,2,23.4,18484.0,,3.0,84.6,3,54963.0
226,Apartment,Kilimani,Unfurnished,11.0,87.3,3,2,9.2,18614.0,,,50.1,4,64741.0
227,Maisonette,Ngong Road,Unfurnished,12.3,52.6,1,1,2.5,13982.0,17.8,5.0,52.3,3,19579.0
228,Apartment,South B,Fully Furnished,2.8,92.9,2,2,3.1,19179.0,,4.0,32.3,1,51444.0
229,Maisonette,Ngong Road,Fully Furnished,14.1,122.8,5,4,23.8,21901.0,12.6,3.0,76.5,1,180042.0
230,Maisonette,Karen,Unfurnished,2.9,54.4,1,1,14.3,10303.0,11.1,2.0,46.3,4,56518.0
231,Apartment,Ruaka,Unfurnished,6.0,89.6,3,2,3.5,13873.0,,5.0,26.0,4,73426.0
232,Apartment,Ruaka,Semi-Furnished,7.3,75.9,2,2,12.7,15411.0,,4.0,48.5,2,55145.0
233,Apartment,Ngong Road,Unfurnished,7.0,85.5,3,3,2.0,17987.0,,4.0,94.2,1,62847.0
234,Maisonette,Ruaka,Unfurnished,8.3,117.5,3,2,13.2,15102.0,18.4,4.0,83.8,2,88335.0
235,Apartment,South B,Unfurnished,6.9,40.6,1,2,8.4,8526.0,,3.0,62.6,2,23979.0
