campaign_id,platform,campaign_objective,industry_sector,influencer_partnership,team_experience_level,campaign_duration_days,daily_budget_kes,total_campaign_spend_kes,target_audience_size,creative_count,avg_engagement_rate_pct,click_through_rate_pct,previous_campaign_success_score,influencer_fee_kes,campaign_roi_pct
129,Facebook,Conversion,Technology,No,Expert,45.0,1793.0,79741.0,154670.0,5,2.8310030748118455,1.12,85.6,,28.57
130,Email,Awareness,Finance,Yes,Intermediate,30.0,5834.0,180049.0,137782.0,5,0.6615702154587342,0.75,90.1,33213.65122530284,15.94
131,Instagram,Consideration,Hospitality,No,Expert,20.0,6155.0,115409.0,52896.0,3,2.286093896511284,0.92,51.9,,20.31
132,Facebook,Conversion,Finance,No,Intermediate,3.0,4500.0,13181.0,151653.0,1,5.181741475080814,2.8,73.2,,69.44
133,Email,Awareness,Finance,Yes,Expert,13.0,1406.0,17885.0,77619.0,4,4.920475958233667,2.37,40.1,122876.47614418366,50.42
134,Instagram,Awareness,Retail,Yes,Expert,21.0,4823.0,99495.0,163320.0,2,4.355092395029755,1.56,79.5,35424.85835379801,36.28
135,Instagram,Consideration,Education,Yes,Intermediate,13.0,1329.0,16847.0,156410.0,5,3.9989809186859535,2.13,75.0,60518.733837952364,48.01
136,Instagram,Consideration,Hospitality,No,Novice,17.0,5901.0,104914.0,45442.0,7,4.098556021044547,2.06,43.4,,29.59
137,TikTok,Conversion,Technology,Yes,Expert,5.0,6565.0,31416.0,51352.0,5,5.219243726947656,1.51,49.3,38875.21767601913,42.28
138,Google Ads,Awareness,Finance,No,Intermediate,8.0,10028.0,78290.0,154961.0,6,4.449071641121255,1.8,49.3,,29.89
139,Facebook,Conversion,Retail,Yes,Novice,25.0,2064.0,55433.0,39678.0,5,2.6192606581474647,0.53,77.6,43099.3689751543,4.77
140,Instagram,Conversion,Retail,No,Intermediate,6.0,9248.0,58105.0,58093.0,6,3.0950494251579954,1.02,0.0,,24.86
141,Google Ads,Conversion,Finance,No,Intermediate,23.0,1640.0,39442.0,47743.0,7,2.784308567371261,1.43,61.9,,17.89
142,Facebook,Consideration,Hospitality,No,Intermediate,4.0,11855.0,49961.0,18530.0,2,1.5875874908345713,3.14,32.4,,23.31
143,Facebook,Awareness,Hospitality,Yes,Novice,23.0,1043.0,24306.0,52018.0,3,4.0440036451933885,1.22,74.1,65631.47095076731,21.22
144,Google Ads,Consideration,Retail,Yes,Expert,19.0,6779.0,120278.0,51392.0,5,1.1020665711057447,2.56,73.1,30914.96695576877,66.19
145,Email,Consideration,Technology,No,Expert,3.0,5798.0,18063.0,10225.0,5,2.8544635543413692,1.77,72.2,,38.61
146,Email,Conversion,Finance,Yes,Expert,8.0,2425.0,18530.0,16407.0,6,0.9977653442414685,1.66,29.9,111462.49069604122,46.7
147,Instagram,Consideration,Retail,No,Intermediate,11.0,7667.0,84221.0,92432.0,7,2.152070446104114,0.63,80.2,,20.02
148,Facebook,Awareness,Hospitality,No,Novice,6.0,12579.0,76149.0,30999.0,7,,2.48,42.2,,10.1
149,Instagram,Conversion,Retail,No,Intermediate,4.0,18787.0,66534.0,223354.0,5,4.128684376580206,1.97,66.6,,29.05
150,Instagram,Conversion,Finance,No,Intermediate,17.0,6168.0,105978.0,193650.0,3,2.524497620997726,2.23,77.4,,19.44
151,TikTok,Consideration,Finance,No,Expert,20.0,5182.0,99385.0,54560.0,7,2.613874112090825,2.54,84.9,,30.93
152,Google Ads,Awareness,Finance,No,Novice,17.0,7775.0,134513.0,17035.0,7,3.974139887336548,3.35,48.1,,29.8
153,Google Ads,Conversion,Technology,No,Intermediate,9.0,7229.0,64048.0,10310.0,6,3.089840047215429,0.19,73.5,,20.08
154,Google Ads,Awareness,Retail,Yes,Expert,7.0,4759.0,32871.0,147816.0,4,3.3038394323883113,3.05,87.5,7444.079289585201,46.18
155,Email,Consideration,Education,No,Expert,13.0,5683.0,69840.0,106256.0,3,4.525956962619735,1.52,78.1,,29.03
156,Instagram,Consideration,Retail,No,Intermediate,15.0,2940.0,41653.0,71302.0,2,7.862879172064423,0.52,59.8,,18.31
157,Facebook,Consideration,Technology,No,Novice,8.0,8210.0,68612.0,8393.0,7,0.596658531224322,1.87,11.6,,7.81
158,Instagram,Awareness,Technology,Yes,Expert,11.0,8344.0,92618.0,202381.0,6,3.7578164638934517,1.39,55.8,80977.22698027955,46.54
159,Facebook,Consideration,Hospitality,Yes,Intermediate,16.0,6913.0,114745.0,77625.0,6,2.4494846144060323,3.06,67.6,90409.60528828518,44.08
160,Google Ads,Conversion,Retail,No,Novice,18.0,5061.0,81177.0,106375.0,5,4.592255670460689,1.19,22.6,,17.17
161,Google Ads,Consideration,Education,No,Expert,11.0,5572.0,61012.0,42473.0,4,,0.85,58.6,,23.61
162,TikTok,Conversion,Hospitality,Yes,Intermediate,31.0,6448.0,201618.0,18607.0,5,3.0686198359047747,1.29,43.6,23427.528246988673,24.56
163,TikTok,Conversion,Education,No,Novice,8.0,9250.0,76750.0,25039.0,9,4.0164827196232205,2.09,46.2,,38.96
164,Google Ads,Consideration,Retail,No,Novice,9.0,5821.0,49099.0,142041.0,6,1.8234977418333889,1.71,51.0,,14.2
165,Instagram,Conversion,Finance,Yes,Intermediate,16.0,13433.0,209643.0,65806.0,7,4.9799573225276,0.85,48.1,50599.12716570392,24.89
166,Instagram,Awareness,Education,No,Intermediate,15.0,27506.0,423893.0,135921.0,4,1.0513223687220727,0.45,38.3,,-11.54
167,Facebook,Conversion,Retail,No,Novice,19.0,6719.0,134035.0,86898.0,8,3.2202435207510827,1.79,63.8,,22.81
168,Google Ads,Consideration,Retail,No,Intermediate,16.0,8320.0,134501.0,129302.0,4,7.798496899077602,0.13,51.2,,27.56
169,Facebook,Awareness,Education,No,Novice,24.0,4141.0,97490.0,34286.0,5,4.46052331032861,2.29,50.7,,24.38
170,TikTok,Conversion,Technology,No,Intermediate,10.0,719.0,7314.0,44159.0,4,4.4772427812496725,0.91,85.5,,36.04
171,Instagram,Consideration,Retail,No,Expert,16.0,14066.0,218554.0,37822.0,4,8.412413603716352,2.06,40.6,,39.77
172,Email,Awareness,Retail,Yes,Novice,35.0,24830.0,783462.0,197627.0,5,,1.63,69.6,45227.395992535836,14.08
173,Google Ads,Conversion,Hospitality,Yes,Novice,11.0,4949.0,57178.0,135958.0,4,6.087751173102101,1.43,56.5,56563.21316545578,69.3
174,Facebook,Awareness,Finance,No,Intermediate,34.0,11187.0,367261.0,63000.0,6,6.003388125806647,2.63,50.5,,38.77
175,Google Ads,Awareness,Hospitality,No,Intermediate,17.0,5288.0,87734.0,66130.0,6,4.883004683463921,3.2,61.1,,42.6
176,TikTok,Consideration,Finance,No,Intermediate,16.0,1561.0,24477.0,46469.0,3,1.7723137415994568,1.94,78.3,,25.91
177,Google Ads,Consideration,Retail,No,Intermediate,13.0,7840.0,101516.0,36603.0,5,4.721055473142695,1.01,45.6,,38.52
178,Google Ads,Awareness,Technology,No,Intermediate,8.0,3985.0,28412.0,57313.0,5,2.321944083851185,0.96,84.0,,12.22
179,Google Ads,Awareness,Hospitality,No,Intermediate,6.0,16554.0,89379.0,69668.0,3,0.05,1.76,33.1,,13.34
180,Facebook,Conversion,Finance,No,Novice,7.0,5814.0,40859.0,10121.0,3,2.5632804115165344,2.17,53.7,,39.52
181,Instagram,Conversion,Retail,No,Expert,11.0,599.0,6833.0,85693.0,4,3.9249702502035895,3.17,93.6,,60.75
182,Facebook,Conversion,Hospitality,Yes,Novice,22.0,2708.0,59012.0,21503.0,7,5.07178471073232,1.79,72.6,43170.75859170516,30.41
183,Instagram,Awareness,Hospitality,No,Novice,4.0,9016.0,33843.0,79583.0,7,5.324783004308085,2.47,68.2,,34.24
184,Facebook,Conversion,Retail,No,Intermediate,7.0,10653.0,78105.0,53433.0,2,4.68224813079345,1.12,22.2,,19.92
185,Instagram,Awareness,Education,Yes,Intermediate,15.0,6254.0,90958.0,51948.0,6,4.161879845696708,1.26,47.2,18938.123343241645,37.48
186,Facebook,Conversion,Retail,No,Intermediate,9.0,9286.0,82986.0,21439.0,6,2.081630339245926,2.46,100.0,,47.12
187,Email,Conversion,Hospitality,Yes,Expert,21.0,4240.0,84487.0,135122.0,3,3.0909918055567327,2.75,34.6,98132.96260566876,42.05
188,Instagram,Consideration,Education,No,Expert,10.0,17166.0,175156.0,73605.0,4,,1.55,40.7,,55.11
189,Facebook,Awareness,Hospitality,No,Intermediate,6.0,5474.0,32948.0,149089.0,4,2.4847885266530674,0.4,82.7,,15.98
190,Facebook,Consideration,Retail,No,Intermediate,23.0,4099.0,89917.0,80862.0,5,2.313861938779161,1.05,33.7,,11.3
191,Instagram,Awareness,Technology,No,Intermediate,14.0,9972.0,142982.0,229036.0,7,2.736348758326651,1.03,65.8,,-1.92
192,Facebook,Awareness,Education,No,Expert,8.0,9652.0,75015.0,141258.0,5,4.540229209814084,1.68,94.1,,20.26
193,Google Ads,Awareness,Hospitality,No,Intermediate,3.0,15636.0,48092.0,128900.0,6,3.096938369278784,2.13,38.1,,40.92
194,Google Ads,Awareness,Education,No,Novice,5.0,11636.0,56010.0,163924.0,7,2.663450881243707,3.2,76.9,,21.08
195,Google Ads,Conversion,Technology,No,Intermediate,11.0,5801.0,67486.0,75333.0,2,0.05,1.97,83.1,,12.24
196,Facebook,Consideration,Hospitality,No,Novice,16.0,8503.0,137191.0,59085.0,4,2.882180592558271,1.18,66.2,,16.4
197,TikTok,Awareness,Retail,No,Intermediate,18.0,4508.0,80014.0,117866.0,8,4.026710986251874,2.07,76.9,,14.75
198,TikTok,Conversion,Finance,No,Intermediate,10.0,4626.0,46128.0,18623.0,5,3.6827746183646273,2.42,30.3,,37.4
199,TikTok,Awareness,Retail,Yes,Intermediate,18.0,2418.0,46369.0,77580.0,5,4.4328753758184885,2.53,39.2,32026.952621537184,6.0
200,Instagram,Awareness,Hospitality,No,Novice,12.0,13319.0,151442.0,179803.0,6,2.6217347284452477,2.34,35.1,,-13.39
201,Facebook,Conversion,Education,No,Intermediate,31.0,3302.0,102834.0,26075.0,6,5.170630857980782,0.92,72.6,,45.7
202,TikTok,Awareness,Retail,No,Intermediate,9.0,15087.0,146246.0,73816.0,4,1.4112212821966155,0.34,53.8,,-12.0
